"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"USP20",0,0.271850925942443,0.274,0.11,0,"8","USP20"
"TXK1",0,0.268617370307278,0.262,0.103,0,"8","TXK"
"BCL11A",0,0.265058927089316,0.258,0.102,0,"8","BCL11A"
"PACS2",0,0.264803392262459,0.261,0.105,0,"8","PACS2"
"SARS11",0,0.264443648657976,0.265,0.109,0,"8","SARS1"
"ABCA101",0,0.263003095638664,0.26,0.104,0,"8","ABCA10"
"FAM13A1",0,0.254608427576486,0.335,0.13,0,"8","FAM13A"
"KIFAP31",1.13285207643514e-307,0.428149589371536,0.43,0.246,1.01205605952486e-302,"8","KIFAP3"
"STAU21",4.43944064336137e-307,0.412791910638403,0.411,0.223,3.96606308755975e-302,"8","STAU2"
"SNX142",1.02643171565558e-306,0.384379489935605,0.42,0.232,9.16983301815225e-302,"8","SNX14"
"ELOVL61",6.88752607755786e-306,0.397288349383564,0.34,0.164,6.15310917190787e-301,"8","ELOVL6"
"TULP42",9.07515662246393e-306,0.452362747101434,0.546,0.353,8.1074726718106e-301,"8","TULP4"
"INPP5A",4.01070064003568e-305,0.295289719269676,0.257,0.107,3.58303963078867e-300,"8","INPP5A"
"SCAF11",8.67050305510246e-305,0.48545544786982,0.737,0.592,7.74596731433689e-300,"8","SCAF11"
"GTF2F2",2.90240633089715e-304,0.495083356141991,0.593,0.41,2.59292274383359e-299,"8","GTF2F2"
"ROCK21",7.58800654440813e-304,0.474880060321658,0.539,0.351,6.77889740657789e-299,"8","ROCK2"
"GALNT71",9.42942847799591e-304,0.418321108333504,0.403,0.218,8.42396851938721e-299,"8","GALNT7"
"TOGARAM1",5.73974791279148e-303,0.358410772805815,0.315,0.149,5.12771859285053e-298,"8","TOGARAM1"
"CARS2",9.22778916411141e-303,0.383027935395195,0.428,0.243,8.24383000554221e-298,"8","CARS2"
"ZZEF12",6.30144615831637e-302,0.272606818809646,0.452,0.242,5.62952295445509e-297,"8","ZZEF1"
"USP6NL1",1.11824752714881e-301,0.364909163491446,0.381,0.198,9.99008793328928e-297,"8","USP6NL"
"OXSR11",1.68460084244971e-301,0.452716633385646,0.58,0.391,1.5049718546193e-296,"8","OXSR1"
"MPP51",9.53768321622811e-301,0.427316942775638,0.474,0.281,8.52068005488171e-296,"8","MPP5"
"CNOT41",1.89860085167282e-300,0.461339810311816,0.567,0.384,1.69615304285895e-295,"8","CNOT4"
"G2E3",2.05766117686668e-300,0.341210443300714,0.322,0.156,1.83825276557739e-295,"8","G2E3"
"EPB41L51",3.79280546341469e-300,0.350072730441454,0.429,0.232,3.38837861685078e-295,"8","EPB41L5"
"ARID5B1",4.36416715793147e-300,0.50174881810165,0.763,0.578,3.89881601388124e-295,"8","ARID5B"
"FARP21",4.9477161768284e-300,0.31728548901929,0.412,0.216,4.42014120089319e-295,"8","FARP2"
"ASXL11",6.50180860169786e-300,0.45983849903758,0.541,0.344,5.80852075049882e-295,"8","ASXL1"
"DSG33",1.41865434688853e-299,0.402947452805219,0.551,0.32,1.2673832338798e-294,"8","DSG3"
"FBXW111",2.3240969667791e-299,0.403706873738318,0.56,0.368,2.07627850721145e-294,"8","FBXW11"
"RARS21",4.55631597513158e-298,0.427711972936652,0.508,0.325,4.0704760027033e-293,"8","RARS2"
"PAXBP11",1.65940335127216e-297,0.36773487184371,0.474,0.277,1.48246117192601e-292,"8","PAXBP1"
"NMT1",2.1562890302756e-297,0.397875961275602,0.555,0.363,1.92636393097732e-292,"8","NMT1"
"TTC191",2.34685344930506e-297,0.401708665552752,0.513,0.325,2.09660846600566e-292,"8","TTC19"
"FBXO38",2.44700983414086e-297,0.305904537619577,0.3,0.139,2.18608517552642e-292,"8","FBXO38"
"NPLOC41",4.55705857423274e-297,0.387361845447811,0.454,0.267,4.0711394184623e-292,"8","NPLOC4"
"RBL22",5.56870430462598e-296,0.373627152367904,0.424,0.236,4.97491336462371e-291,"8","RBL2"
"ZDHHC131",4.56399656714144e-294,0.364895646363678,0.428,0.238,4.07733761318715e-289,"8","ZDHHC13"
"ZNF76",7.58708881198643e-294,0.271818804261076,0.25,0.104,6.77807753196432e-289,"8","ZNF76"
"GSTO2",1.09553395621642e-293,0.34962429789577,0.351,0.179,9.78717170465065e-289,"8","GSTO2"
"EPC2",2.62394113699271e-293,0.387025783735257,0.36,0.189,2.34415029355518e-288,"8","EPC2"
"MPRIP1",1.23292075534154e-292,0.354676858839104,0.614,0.404,1.10145441519948e-287,"8","MPRIP"
"KIDINS2201",1.76051400448792e-292,0.418034660900125,0.471,0.286,1.57279039618937e-287,"8","KIDINS220"
"EPC11",2.23705920331571e-292,0.453766199510902,0.646,0.468,1.99852158046615e-287,"8","EPC1"
